no,word,jp
1,abide,（規則などに）従う、守る（by）
2,aboard,（乗り物に）乗って
3,absent,欠席の、不在の
4,absorb,吸収する
5,accent,なまり、アクセント
6,acceptance,受け入れ、承諾
7,accessible,利用しやすい、行きやすい
8,accessory,付属品、アクセサリー
9,acclaim,称賛（する）
10,accommodate,収容する、（要望に）対応する
11,accomplishment,達成、業績
12,accordingly,それに応じて、したがって
13,accountant,会計士、経理担当
14,accumulate,蓄積する、たまる
15,accuracy,正確さ
16,accurately,正確に
17,accustom,慣れさせる（be accustomed to 〜に慣れている）
18,activate,起動する、有効にする
19,actively,積極的に
20,actress,女優
21,adapter,アダプター、変換器
22,additionally,さらに、加えて
23,adhere,付着する、（規則を）守る（to）
24,adjacent,隣接した、となりの
25,administer,管理する、運営する
26,administrative,管理の、事務の
27,administrator,管理者、運営者
28,admission,入場（料）、入学、承認
29,advancement,昇進、進歩
30,advertiser,広告主
31,advisable,望ましい、賢明な
32,advisor,助言者、顧問
33,advisory,助言の、勧告
34,affirmative,肯定の、賛成の
35,affordable,手ごろな価格の
36,afterward,その後で
37,airfare,航空運賃
38,airplane,飛行機
39,airport,空港
40,aisle,（座席・棚の間の）通路
41,alert,警戒させる、警報
42,alike,同様に、似ている
43,allergy,アレルギー
44,allocate,割り当てる、配分する
45,alternate,交互の、代わりの
46,alternatively,代わりに、あるいは
47,amateur,アマチュア、素人
48,ambassador,大使
49,ambitious,野心的な、意欲的な
50,amenity,（施設の）設備、快適さ
51,ample,十分な、豊富な
52,amuse,楽しませる
53,anew,新たに、改めて
54,anniversary,記念日
55,announcer,アナウンサー、司会
56,annoy,いらだたせる
57,annually,毎年、年に一度
58,antique,骨董品、アンティークの
59,anyhow,とにかく、どうにかして
60,anytime,いつでも
61,apology,謝罪、おわび
62,appendix,付録、補足
63,appetizer,前菜、オードブル
64,apple,りんご
65,appliance,（家庭用）電化製品
66,applicable,適用できる、当てはまる
67,applicant,応募者、志願者
68,appraisal,評価、査定
69,appreciation,感謝、正しい評価
70,apprehensive,不安な、心配して
71,apprentice,見習い、実習生
72,approximate,おおよその、概算する
73,arc,弧、アーチ
74,architect,建築家、設計者
75,architectural,建築の
76,archive,保管する、記録保管所
77,artistic,芸術的な
78,asleep,眠って
79,aspect,側面、面
80,assemble,組み立てる、集める
81,assembly,組み立て、集会
82,assignment,割り当て、課題、任務
83,assurance,保証、確信
84,athletic,運動の、運動が得意な
85,attain,達成する、到達する
86,attendant,係員、案内係
87,attendee,出席者、参加者
88,attire,服装、衣装
89,attorney,弁護士
90,auction,競売、オークション
91,audit,監査（する）
92,audition,オーディション
93,auditor,監査人
94,auditorium,講堂、ホール
95,authentic,本物の、真正の
96,authority,権限、当局、権威
97,authorization,承認、許可
98,authorize,承認する、許可する
99,auto,自動車
100,automate,自動化する
101,automatic,自動の
102,automobile,自動車
103,automotive,自動車の
104,availability,利用できること、在庫の有無
105,await,待つ
106,backpack,リュックサック
107,bacteria,細菌、バクテリア
108,badge,バッジ、身分証
109,baggage,手荷物
110,bake,（オーブンで）焼く
111,baker,パン職人
112,bakery,パン屋、ベーカリー
113,balcony,バルコニー
114,balloon,風船、気球
115,ballroom,大広間、舞踏室
116,banker,銀行員、銀行家
117,bankrupt,破産した
118,bankruptcy,破産、倒産
119,banquet,宴会、晩さん会
120,barbecue,バーベキュー
121,bargain,特売品、掘り出し物／交渉する
122,baseball,野球
123,basement,地下（室）
124,basket,かご、バスケット
125,basketball,バスケットボール
126,bathroom,浴室、トイレ
127,battery,電池、バッテリー
128,bean,豆
129,beforehand,前もって、事前に
130,beginner,初心者
131,behalf,（on behalf of）〜を代表して、〜のために
132,bench,ベンチ
133,beneficial,有益な、ためになる
134,beverage,飲み物
135,bicycle,自転車
136,biography,伝記
137,biology,生物学
138,birthday,誕生日
139,blanket,毛布
140,blueprint,設計図、青写真、計画
141,boardroom,役員会議室
142,bonus,ボーナス、特典
143,bookcase,本棚
144,booklet,小冊子
145,bookstore,書店
146,booth,ブース、（展示会の）小間
147,born,生まれた
148,bound,（be bound for）〜行きの／必ず〜する
149,brainstorm,ブレインストーミング（する）
150,brake,ブレーキ（をかける）
151,briefcase,書類かばん
152,broaden,広げる、広がる
153,brochure,パンフレット、小冊子
154,broker,仲介業者、ブローカー
155,broom,ほうき
156,browse,（店内を）見て回る、閲覧する
157,buffet,ビュッフェ、立食形式
158,bug,虫、不具合、バグ
159,bulb,電球、球根
160,bulk,大量、大部分（in bulk 大量に）
161,bulletin,掲示、会報（bulletin board 掲示板）
162,businessman,実業家、ビジネスマン
163,businessperson,実業家
164,butter,バター
165,bye,さようなら
166,by-law,内規、細則
167,cab,タクシー
168,cabin,客室、小屋
169,cabinet,戸棚、キャビネット／内閣
170,cafe,カフェ、喫茶店
171,cafeteria,カフェテリア、社員食堂
172,cage,かご、おり
173,calculation,計算
174,calculator,計算機、電卓
175,calendar,カレンダー、予定表
176,caller,電話をかけた人、訪問者
177,campus,キャンパス、構内
178,cancellation,取り消し、キャンセル
179,candidate,候補者、志願者
180,candy,あめ、お菓子
181,captain,機長、船長、主将
182,careless,不注意な
183,cargo,貨物、積み荷
184,carpenter,大工
185,carrier,運送業者、航空会社／運ぶ人
186,cart,カート、荷車
187,carton,箱、カートン
188,cartridge,カートリッジ、交換部品
189,cashier,レジ係、会計係
190,casual,気軽な、カジュアルな
191,cater,料理を提供する、要望に応える（to）
192,caterer,仕出し業者、ケータリング業者
193,caution,注意、警告
194,cautious,慎重な、用心深い
195,ceiling,天井、（数量の）上限
196,celebrity,有名人
197,cellphone,携帯電話
198,centimeter,センチメートル
199,certificate,証明書、修了証
200,certification,認証、資格認定
201,certify,証明する、認定する
202,chairperson,議長、委員長
203,charitable,慈善の
204,checkout,（ホテルの）チェックアウト、（店の）会計
205,checkup,健康診断、点検
206,cheer,声援（する）、元気づける
207,cheeseburger,チーズバーガー
208,chef,シェフ、料理長
209,chemistry,化学
210,chilly,肌寒い
211,chronic,慢性の
212,cinema,映画館、映画
213,circuit,回路、巡回
214,circulate,循環する、（情報を）回覧する
215,circulation,循環、発行部数
216,circus,サーカス
217,clap,拍手する
218,clarify,明確にする
219,classify,分類する
220,classmate,同級生
221,cleaner,清掃員、クリーニング店
222,cleanliness,清潔さ
223,clerk,店員、事務員
224,click,クリック（する）
225,client,顧客、依頼人
226,clinic,診療所、クリニック
227,clip,クリップ、留める
228,closet,押し入れ、クローゼット
229,closure,閉鎖、終了
230,cloth,布、生地
231,cloudy,曇りの
232,clue,手がかり
233,collaboration,共同、協力
234,collector,収集家、集金人
235,colorful,色彩豊かな
236,comb,くし（でとかす）
237,comfortably,快適に
238,commerce,商業、貿易
239,commonly,一般に、普通に
240,commute,通勤（する）
241,commuter,通勤者
242,compact,小型の、コンパクトな
243,compartment,区画、（列車の）客室
244,compatible,互換性のある、両立できる
245,compensate,補償する、埋め合わせる
246,compile,編集する、まとめる
247,completion,完成、完了
248,compliance,順守、法令順守
249,complication,複雑化、問題
250,compliment,ほめ言葉、ほめる
251,complimentary,無料の、称賛の
252,comply,従う、順守する（with）
253,comprehension,理解（力）
254,concierge,コンシェルジュ、案内係
255,conditioner,コンディショナー、調整器
256,condominium,分譲マンション
257,conductor,車掌、指揮者
258,conference,会議、会談
259,confidential,機密の
260,confirmation,確認、確定
261,conform,従う、一致する（to）
262,congestion,混雑、渋滞
263,congratulate,祝う
264,congratulation,祝い、（複数で）おめでとう
265,consecutive,連続した
266,consent,同意（する）
267,considerably,かなり、相当
268,considerate,思いやりのある
269,consignment,委託（販売）、積み荷
270,consistently,一貫して
271,consultation,相談、協議
272,consumption,消費
273,container,容器、コンテナ
274,contestant,競技者、出場者
275,continental,大陸の
276,contraction,収縮、短縮形
277,contractor,請負業者、契約者
278,contradict,矛盾する、反論する
279,contradiction,矛盾
280,contrary,反対の（on the contrary それどころか）
281,convenience,便利さ、都合
282,convenient,便利な、都合のよい
283,conveniently,便利に
284,convey,伝える、運ぶ
285,cookbook,料理本
286,cookie,クッキー
287,cooler,クーラーボックス、冷却装置
288,cooperate,協力する
289,coordinate,調整する、まとめる
290,coordinator,まとめ役、コーディネーター
291,copier,コピー機
292,copyright,著作権
293,cord,コード、ひも
294,cordless,コードレスの
295,correction,訂正、修正
296,correctly,正しく
297,correspondence,文通、通信、一致
298,cosmetic,化粧品、美容の
299,costly,高価な、犠牲の大きい
300,costume,衣装
301,counselor,相談員、カウンセラー
302,countryside,田舎、地方
303,coupon,クーポン、割引券
304,courier,宅配業者、配達人
305,courtesy,礼儀、好意（courtesy of 〜のご厚意による）
306,coworker,同僚
307,crane,クレーン、ツル
308,creativity,創造性
309,criteria,基準（criterionの複数）
310,cruise,クルーズ、遊覧（する）
311,culinary,料理の
312,cumulative,累積的な
313,cushion,クッション、緩和する
314,customize,カスタマイズする、注文に合わせる
315,daytime,昼間
316,deadline,締め切り
317,dealership,販売店、特約店
318,debit,引き落とし、借方
319,deck,デッキ、甲板
320,decorate,飾る、装飾する
321,decoration,装飾、飾り
322,dedication,献身、専念
323,deduct,差し引く、控除する
324,deduction,控除、推論
325,defect,欠陥
326,defective,欠陥のある
327,definite,明確な、確実な
328,delegate,代表（を派遣する）、委任する
329,delete,削除する
330,delicate,繊細な、壊れやすい
331,delicious,おいしい
332,deluxe,豪華な、デラックスな
333,demolish,取り壊す
334,dental,歯の
335,dentist,歯科医
336,depart,出発する
337,departmental,部門の、部署の
338,departure,出発
339,dependable,頼りになる、信頼できる
340,dependence,依存
341,descriptive,説明的な、記述的な
342,designate,指定する、任命する
343,desirable,望ましい
344,desktop,デスクトップ（パソコン）
345,desperate,必死の、絶望的な
346,dessert,デザート
347,destination,目的地、行き先
348,detach,取り外す、切り離す
349,deteriorate,悪化する
350,devastate,壊滅させる
351,developer,開発者、開発業者
352,diagnose,診断する
353,diagnostic,診断の
354,diagram,図、図表
355,dial,ダイヤル（を回す）、電話をかける
356,diamond,ダイヤモンド
357,dine,食事をする
358,diner,食事客、簡易食堂
359,diploma,卒業証書、修了証
360,directory,名簿、住所録、（PCの）ディレクトリ
361,disable,使えなくする、無効にする
362,disagreement,不一致、意見の相違
363,disappointment,失望、期待外れ
364,discard,捨てる、廃棄する
365,disconnect,切断する
366,discontinue,中止する、（製造を）打ち切る
367,discrepancy,食い違い、不一致
368,disgust,嫌悪（させる）
369,dishwasher,食器洗い機
370,dislike,嫌う、嫌悪
371,dispatch,発送する、派遣する
372,disposal,処分、廃棄
373,dispose,処分する（of）、配置する
374,disrupt,混乱させる、中断させる
375,disruption,混乱、中断
376,dissatisfy,不満をいだかせる
377,distract,気を散らす
378,distraction,気晴らし、気を散らすもの
379,distractor,（試験の）誤答選択肢
380,distribution,配布、分配、流通
381,distributor,販売代理店、卸売業者
382,dive,飛び込む、潜る
383,dividend,配当（金）
384,dock,波止場、ドック（に入れる）
385,documentary,ドキュメンタリー
386,documentation,文書、書類一式
387,donate,寄付する
388,donation,寄付
389,donut,ドーナツ
390,doorman,ドアマン、玄関係
391,dose,（薬の）1回分、服用量
392,download,ダウンロード（する）
393,downsize,縮小する、人員削減する
394,downstairs,階下に
395,downtown,繁華街、中心街
396,downturn,（景気の）下降、悪化
397,drastically,抜本的に、大幅に
398,drawback,欠点、難点
399,drawer,引き出し
400,drill,ドリル、訓練
401,drought,干ばつ
402,drum,ドラム、太鼓
403,dull,鈍い、退屈な
404,duplicate,複製（する）、複写
405,durable,丈夫な、耐久性のある
406,duration,継続期間
407,dynamic,活発な、動的な
408,eager,熱心な、切望して
409,earthquake,地震
410,e-book,電子書籍
411,economical,経済的な、節約になる
412,economically,経済的に
413,economist,経済学者、エコノミスト
414,economize,節約する
415,editorial,社説、編集の
416,effectiveness,有効性、効果
417,efficiently,効率的に
418,electrical,電気の
419,electrician,電気技師
420,electronically,電子的に、オンラインで
421,elegant,優雅な、上品な
422,elephant,象
423,elevate,上げる、高める
424,elevator,エレベーター
425,eligible,資格のある、適格の
426,embassy,大使館
427,embed,埋め込む
428,enclose,同封する、囲む
429,energetic,精力的な、活発な
430,engagement,約束、婚約、業務
431,enjoyable,楽しい
432,enroll,登録する、入学する
433,enrollment,登録、入学（者数）
434,enthusiasm,熱意、熱狂
435,enthusiast,熱心な愛好家、ファン
436,enthusiastic,熱心な
437,enthusiastically,熱心に
438,entree,メインディッシュ、主菜
439,entrepreneur,起業家
440,environmentally,環境的に（environmentally friendly 環境にやさしい）
441,equip,備え付ける、装備する
442,erase,消す
443,escalator,エスカレーター
444,escort,付き添う、護衛（する）
445,ethics,倫理、道徳
446,euro,ユーロ（通貨）
447,evacuate,避難する、避難させる
448,evenly,均等に、平等に
449,evident,明白な
450,excellence,優秀さ、卓越
451,exceptional,例外的な、非常に優れた
452,excessive,過度の
453,exclusive,独占的な、限定の
454,exclusively,もっぱら、独占的に
455,excursion,遠足、小旅行
456,exemption,免除、控除
457,exit,出口、退出する
458,exotic,異国風の、エキゾチックな
459,expedite,迅速に処理する、はかどらせる
460,expertise,専門知識、専門技術
461,expiration,満了、（期限の）失効
462,expire,期限が切れる
463,explanatory,説明的な
464,explorer,探検家
465,extinguisher,消火器
466,fabric,生地、布
467,facilitate,促進する、容易にする
468,factual,事実に基づく
469,faculty,教授陣、（大学の）学部、能力
470,familiarity,精通、なじみ
471,familiarize,慣れさせる、精通させる
472,fare,運賃
473,farewell,別れ、送別（farewell party 送別会）
474,fasten,締める、留める
475,fatigue,疲労
476,faulty,欠陥のある、不完全な
477,favorable,好意的な、有利な
478,fax,ファックス
479,feedback,意見、感想、フィードバック
480,ferry,フェリー、渡し船
481,finalize,最終決定する、仕上げる
482,firefighter,消防士
483,firework,花火
484,fiscal,財政の、会計の（fiscal year 会計年度）
485,fitness,健康、フィットネス、適性
486,fixture,備品、据え付け設備
487,flavor,風味、味
488,flaw,欠陥、傷
489,fleet,（車・船の）一団、船隊
490,flexibility,柔軟性
491,flextime,フレックスタイム制
492,flour,小麦粉
493,flu,インフルエンザ
494,fluctuate,変動する
495,fluent,流ちょうな
496,flyer,チラシ、広告ビラ
497,fog,霧
498,folder,フォルダー、書類挟み
499,footwear,履物
500,forbid,禁じる
501,foreman,現場監督、職長
502,fork,フォーク、分岐
503,formally,正式に、形式的に
504,fortunately,幸運にも
505,forum,討論会、フォーラム
506,foster,育成する、促進する、里親の
507,founder,創設者
508,fountain,噴水、泉
509,franchise,フランチャイズ、営業権
510,freelance,フリーランスの、自由契約の
511,freight,貨物、運送
512,freighter,貨物船
513,frustrate,いらだたせる、挫折させる
514,fry,揚げる、炒める
515,fundraise,資金を集める
516,furnish,家具を備え付ける、供給する
517,gallon,ガロン（容量の単位）
518,garage,車庫、修理工場
519,garbage,ごみ
520,gardener,庭師、造園業者
521,garment,衣服、衣料品
522,gasoline,ガソリン
523,generalization,一般化、概括
524,generator,発電機
525,generic,一般的な、ノーブランドの
526,generous,気前のよい、寛大な
527,genre,ジャンル、様式
528,getaway,休暇旅行、逃走
529,glove,手袋
530,goods,商品、品物
531,gossip,うわさ話（をする）
532,graduation,卒業
533,gram,グラム
534,graph,グラフ
535,graphic,図表の、生々しい
536,graphics,図表、画像
537,grill,グリル、網焼き（にする）
538,grocery,食料雑貨（店）
539,guidance,指導、案内
540,gum,ガム、歯茎
541,gym,ジム、体育館
542,gymnasium,体育館
543,habitual,習慣的な
544,hacker,ハッカー
545,hallway,廊下、玄関
546,hamburger,ハンバーガー
547,handbook,手引き、便覧
548,handy,便利な、手近な
549,hardware,金物、ハードウェア
550,hardworking,勤勉な
551,harmful,有害な
552,hazard,危険（要素）
553,hazardous,危険な、有害な
554,headache,頭痛
555,headphone,ヘッドホン
556,headquarter,本部を置く（headquarters 本社）
557,healthcare,医療、健康管理
558,healthful,健康によい
559,heater,暖房器具、ヒーター
560,helmet,ヘルメット
561,hereby,これによって、ここに
562,hesitant,ためらいがちな
563,hesitation,ためらい
564,highway,幹線道路、高速道路
565,hike,ハイキング（する）、（値段の）引き上げ
566,hiker,ハイカー
567,hobby,趣味
568,homeless,家のない、ホームレスの
569,homemade,自家製の
570,homeowner,住宅所有者
571,homework,宿題
572,honestly,正直に
573,hospitality,もてなし、接客業
574,hotline,ホットライン、直通電話
575,hourly,1時間ごとの、時給の
576,housekeep,家事をする
577,housekeeper,家政婦、客室係
578,humidity,湿度、湿気
579,hungry,空腹の
580,hurricane,ハリケーン
581,hygiene,衛生
582,ice cream,アイスクリーム
583,icy,氷の、凍った
584,ideally,理想的には
585,identification,身分証明、識別
586,illogical,非論理的な
587,immigration,移民、入国審査
588,impact,影響、衝撃
589,impatient,我慢できない、いらいらした
590,imperative,必須の、命令的な
591,inappropriate,不適切な
592,inclusive,すべて込みの、包括的な
593,incoming,入ってくる、新任の
594,incomplete,不完全な
595,inconvenience,不便、迷惑
596,incur,（費用・損失などを）招く、被る
597,indicator,指標、表示器
598,indirect,間接的な
599,individually,個別に、それぞれ
600,indoor,屋内の
601,induction,導入、就任、誘導
602,inefficient,非効率な
603,inexpensive,安価な
604,inexperience,経験不足、未熟
605,infer,推測する、推論する
606,inference,推論、推測
607,inflate,膨らませる、（物価を）つり上げる
608,influential,影響力のある
609,informal,非公式の、くだけた
610,informative,有益な、情報を与える
611,ingredient,材料、成分
612,ink,インク
613,innovative,革新的な
614,inquire,尋ねる、問い合わせる
615,insert,挿入する
616,inspect,検査する、視察する
617,inspection,検査、点検
618,inspector,検査官、調査官
619,inspiration,ひらめき、着想、刺激
620,installation,設置、取り付け
621,institute,協会、研究所、（制度を）設ける
622,instruct,指示する、教える
623,instructor,講師、指導員
624,insufficient,不十分な
625,integral,不可欠な、（構成に）必要な
626,intently,熱心に、一心に
627,interactive,双方向の、対話式の
628,interfere,干渉する、邪魔する
629,intern,インターン、研修生
630,internationally,国際的に
